bin	mq	FP	total	TP	TP_sum	FP_sum	total_sum	FPR	TPR	mode	breeds	prog	replication
(50,60]	59.9849762057656	819	9857430	9856611	9856611	819	9857430	0.00818922284275222	98.5567569637641	pe	bwa	bwa	9
(40,50]	45.8177466118266	132	59324	59192	9915803	951	9916754	0.00950909758663903	99.1486207958865	pe	bwa	bwa	9
(30,40]	39.7489949189947	281	58453	58172	9973975	1232	9975207	0.0123188309429435	99.7302855958969	pe	bwa	bwa	9
(20,30]	25.3212105468243	527	7699	7172	9981147	1759	9982906	0.0175883308674007	99.8019987903148	pe	bwa	bwa	9
(10,20]	16.5484515484515	323	2002	1679	9982826	2082	9984908	0.0208180243694873	99.818787197095	pe	bwa	bwa	9
[0,10]	0.732497973941774	8703	16041	7338	9990164	10785	10000949	0.107839766006206	99.8921602339938	pe	bwa	bwa	9
(50,60]	59.9701182852782	678	9608719	9608041	9608041	678	9608719	0.0067793464710002	96.0711487412613	se	bwa	bwa	9
(40,50]	45.1693048372811	112	69998	69886	9677927	790	9678717	0.00789923851340731	96.7699413776512	se	bwa	bwa	9
(30,40]	34.9320107253901	151	70114	69963	9747890	941	9748831	0.00940909296343832	97.4695039398202	se	bwa	bwa	9
(20,30]	25.1740830636462	532	66744	66212	9814102	1473	9815575	0.0147285801648721	98.1315601176047	se	bwa	bwa	9
