bin	ident	mq	FP	total	TP	FP_sum	TP_sum	total_sum	PPV	FPR	TPR	mode	breeds	prog	replication
(10,20]	ref	16.4913452364727	26	7337	7311	91	8064250	8064341	99.9988715754951	0.00112565598839708	99.7535308179251	pe	BSW	vg	3
[0,10]	ref	2.00615105374609	6996	19834	12838	7087	8077088	8084175	99.9123349012113	0.0876650987886828	99.9123349012113	pe	BSW	vg	3
(50,60]	novel	59.9732738450616	22	1859190	1859168	22	1859168	1859190	99.9988166889882	0.00114833035376404	97.0426839612177	se	BSW	vg	3
(40,50]	novel	45.4000829187396	10	9648	9638	32	1868806	1868838	99.9982877060505	0.00167029869638406	97.5457570498349	se	BSW	vg	3
(30,40]	novel	35.7209906477312	10	11548	11538	42	1880344	1880386	99.9977664160444	0.00219226703900408	98.1480041235499	se	BSW	vg	3
(20,30]	novel	25.0381289308176	32	10176	10144	74	1890488	1890562	99.9960858199837	0.00386256573538815	98.6774888103037	se	BSW	vg	3
(10,20]	novel	16.0331474271283	92	9503	9411	166	1899899	1900065	99.9912634567765	0.00866467448749233	99.1687132175434	se	BSW	vg	3
[0,10]	novel	3.25450507614213	4168	15760	11592	4334	1911491	1915825	99.7737789203085	0.226221079691517	99.7737789203085	se	BSW	vg	3
(50,60]	ref	59.9796291431338	23	7860445	7860422	23	7860422	7860445	99.9997073957009	0.000284506458605856	97.232209842068	se	BSW	vg	3
(40,50]	ref	45.0072223306656	20	30738	30718	43	7891140	7891183	99.9994550880394	0.000531903379132688	97.6121867723052	se	BSW	vg	3
(30,40]	ref	36.0623692148816	30	36797	36767	73	7927907	7927980	99.9990792105934	0.000902998759922936	98.0669889011557	se	BSW	vg	3
(20,30]	ref	24.9438869396668	66	40757	40691	139	7968598	7968737	99.9982556834289	0.00171940859766148	98.5703303058135	se	BSW	vg	3
(10,20]	ref	15.8670219396659	165	32088	31923	304	8000521	8000825	99.9962003918346	0.00376043319200784	98.9652129005124	se	BSW	vg	3
[0,10]	ref	2.66785842831434	27087	83350	56263	27391	8056784	8084175	99.6611775474925	0.338822452507522	99.6611775474925	se	BSW	vg	3
(50,60]	novel	59.994665411058	16	1907176	1907160	16	1907160	1907176	99.9991610632684	0.000835149348192032	99.5477144311198	pe	BSW	vg	4
(40,50]	novel	46.0960352422907	5	2270	2265	21	1909425	1909446	99.9989002045619	0.00109613351950204	99.6659402607232	pe	BSW	vg	4
(30,40]	novel	35.5095095095095	1	1998	1997	22	1911422	1911444	99.9988490376909	0.00114833035376404	99.7701773387444	pe	BSW	vg	4
(20,30]	novel	25.5551537070524	13	1659	1646	35	1913068	1913103	99.9981705114675	0.00182688919917007	99.8560933279397	pe	BSW	vg	4
(10,20]	novel	15.8705636743215	4	1437	1433	39	1914501	1914540	99.9979629571594	0.00203567653621808	99.9308913914371	pe	BSW	vg	4
[0,10]	novel	3.90038910505837	187	1285	1098	226	1915599	1915825	99.9882035154568	0.0117964845432125	99.9882035154568	pe	BSW	vg	4
(50,60]	ref	59.9939886213457	16	8029772	8029756	16	8029756	8029772	99.9998007415404	0.000197917536421465	99.3268453490925	pe	BSW	vg	4
(40,50]	ref	46.1903330249769	9	8648	8639	25	8038395	8038420	99.9996889936082	0.00030924615065854	99.4337084489141	pe	BSW	vg	4
(30,40]	ref	35.8084939048368	15	10172	10157	40	8048552	8048592	99.9995030186646	0.000494793841053663	99.5593489750036	pe	BSW	vg	4
(20,30]	ref	24.7687002021643	23	8409	8386	63	8056938	8057001	99.9992180713394	0.00077930029965952	99.6630825037805	pe	BSW	vg	4
(10,20]	ref	16.4948903120316	26	7339	7313	89	8064251	8064340	99.9988963758968	0.0011009162963444	99.7535431877712	pe	BSW	vg	4
[0,10]	ref	2.00715906226368	7004	19835	12831	7093	8077082	8084175	99.9122606821352	0.0877393178648409	99.9122606821352	pe	BSW	vg	4
(50,60]	novel	59.9732738450616	22	1859190	1859168	22	1859168	1859190	99.9988166889882	0.00114833035376404	97.0426839612177	se	BSW	vg	4
(40,50]	novel	45.4000829187396	10	9648	9638	32	1868806	1868838	99.9982877060505	0.00167029869638406	97.5457570498349	se	BSW	vg	4
(30,40]	novel	35.7209906477312	10	11548	11538	42	1880344	1880386	99.9977664160444	0.00219226703900408	98.1480041235499	se	BSW	vg	4
(20,30]	novel	25.0381289308176	32	10176	10144	74	1890488	1890562	99.9960858199837	0.00386256573538815	98.6774888103037	se	BSW	vg	4
(10,20]	novel	16.0331474271283	92	9503	9411	166	1899899	1900065	99.9912634567765	0.00866467448749233	99.1687132175434	se	BSW	vg	4
[0,10]	novel	3.25450507614213	4168	15760	11592	4334	1911491	1915825	99.7737789203085	0.226221079691517	99.7737789203085	se	BSW	vg	4
(50,60]	ref	59.9796291431338	23	7860445	7860422	23	7860422	7860445	99.9997073957009	0.000284506458605856	97.232209842068	se	BSW	vg	4
(40,50]	ref	45.0072223306656	20	30738	30718	43	7891140	7891183	99.9994550880394	0.000531903379132688	97.6121867723052	se	BSW	vg	4
(30,40]	ref	36.0623692148816	30	36797	36767	73	7927907	7927980	99.9990792105934	0.000902998759922936	98.0669889011557	se	BSW	vg	4
(20,30]	ref	24.9438869396668	66	40757	40691	139	7968598	7968737	99.9982556834289	0.00171940859766148	98.5703303058135	se	BSW	vg	4
(10,20]	ref	15.8670219396659	165	32088	31923	304	8000521	8000825	99.9962003918346	0.00376043319200784	98.9652129005124	se	BSW	vg	4
